Category,Message
legitimate,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
legitimate,Ok lar... Joking wif u oni...
phishing,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
legitimate,U dun say so early hor... U c already then say...
legitimate,"Nah I don't think he goes to usf, he lives around here though"
phishing,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, Â£1.50 to rcv"
legitimate,Even my brother is not like to speak with me. They treat me like aids patent.
legitimate,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
phishing,WINNER!! As a valued network customer you have been selected to receivea Â£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
phishing,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
legitimate,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
phishing,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
phishing,"URGENT! You have won a 1 week FREE membership in our Â£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
legitimate,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
legitimate,I HAVE A DATE ON SUNDAY WITH WILL!!
phishing,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
legitimate,Oh k...i'm watching here:)
legitimate,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
legitimate,Fine if thatÂs the way u feel. ThatÂs the way its gota b
