table_name,column_name,ordinal_position,data_type,nullable,default_value,primary_key,unique,indexed,foreign_key,notes
users,id,1,VARCHAR(36),false,application_uuid,true,false,false,,UUID string generated by application
users,name,2,VARCHAR(255),false,,false,false,false,,Analyst display name
users,email,3,VARCHAR(320),false,,false,true,true,,Unique user email
users,password_hash,4,VARCHAR(255),false,,false,false,false,,Never store plaintext passwords
users,role,5,VARCHAR(20),false,user,false,false,true,,Expected values include user and admin
users,is_active,6,BOOLEAN,false,true,false,false,false,,Account activation flag
users,is_verified,7,BOOLEAN,false,false,false,false,false,,Email verification flag
users,created_at,8,TIMESTAMP WITH TIME ZONE,false,current_timestamp,false,false,true,,Creation timestamp
users,updated_at,9,TIMESTAMP WITH TIME ZONE,false,current_timestamp,false,false,false,,Updated timestamp
analysis_results,id,1,VARCHAR(36),false,application_uuid,true,false,false,,Analysis identifier
analysis_results,status,2,VARCHAR(32),false,processing,false,false,true,,Lifecycle status: queued processing completed partial failed cancelled
analysis_results,current_stage,3,VARCHAR(255),true,,false,false,false,,Current forensic pipeline stage
analysis_results,progress_percent,4,INTEGER,false,0,false,false,false,,Backend-reported progress percentage
analysis_results,error_message,5,VARCHAR(1000),true,,false,false,false,,Failure or partial-processing message
analysis_results,verdict,6,VARCHAR(32),true,,false,false,true,,Final verdict when available
analysis_results,risk_score,7,INTEGER,true,,false,false,true,,Risk score from 0 to 100
analysis_results,severity,8,VARCHAR(32),true,,false,false,true,,Severity classification
analysis_results,confidence,9,INTEGER,true,,false,false,false,,Evidence confidence score
analysis_results,summary,10,VARCHAR(1000),true,,false,false,false,,Human-readable analysis summary
analysis_results,result,11,JSON,true,,false,false,false,,Full forensic result payload
analysis_results,started_at,12,TIMESTAMP WITH TIME ZONE,false,current_timestamp,false,false,false,,Analysis start timestamp
analysis_results,completed_at,13,TIMESTAMP WITH TIME ZONE,true,,false,false,false,,Completion timestamp
analysis_results,created_at,14,TIMESTAMP WITH TIME ZONE,false,current_timestamp,false,false,true,,Record creation timestamp
analysis_results,updated_at,15,TIMESTAMP WITH TIME ZONE,false,current_timestamp,false,false,false,,Record update timestamp
analysis_results,status_index,16,INDEX,,ix_analysis_results_status,false,false,true,,Metadata row describing index on status
analysis_results,verdict_index,17,INDEX,,ix_analysis_results_verdict,false,false,true,,Metadata row describing index on verdict
analysis_results,risk_score_index,18,INDEX,,ix_analysis_results_risk_score,false,false,true,,Metadata row describing index on risk_score
analysis_results,severity_index,19,INDEX,,ix_analysis_results_severity,false,false,true,,Metadata row describing index on severity
analysis_results,created_at_index,20,INDEX,,ix_analysis_results_created_at,false,false,true,,Metadata row describing index on created_at
auth_accounts,id,1,VARCHAR(36),false,application_uuid,true,false,false,,Auth account identifier
auth_accounts,user_id,2,VARCHAR(36),false,,false,false,false,users.id,Owning user
auth_accounts,provider,3,VARCHAR(50),false,,false,false,false,,Authentication provider such as local or google
auth_accounts,provider_account_id,4,VARCHAR(255),false,,false,false,false,,Provider-side account identifier
auth_accounts,created_at,5,TIMESTAMP WITH TIME ZONE,false,current_timestamp,false,false,false,,Creation timestamp
auth_accounts,updated_at,6,TIMESTAMP WITH TIME ZONE,false,current_timestamp,false,false,false,,Updated timestamp
auth_accounts,provider_provider_account_id_unique,7,UNIQUE_CONSTRAINT,,uq_auth_provider_id,false,true,false,,Unique combination of provider and provider_account_id
audit_logs,id,1,VARCHAR(36),false,application_uuid,true,false,false,,Audit record identifier
audit_logs,actor_user_id,2,VARCHAR(36),true,,false,false,false,,Optional actor user identifier; model does not declare a foreign key
audit_logs,action,3,VARCHAR(255),false,,false,false,false,,Audited action name
audit_logs,target_user_id,4,VARCHAR(36),true,,false,false,false,,Optional target user identifier; model does not declare a foreign key
audit_logs,metadata_json,5,JSON,true,,false,false,false,,Structured audit metadata
audit_logs,created_at,6,TIMESTAMP WITH TIME ZONE,false,current_timestamp,false,false,false,,Creation timestamp
password_reset_tokens,id,1,VARCHAR(36),false,application_uuid,true,false,false,,Reset token record identifier
password_reset_tokens,user_id,2,VARCHAR(36),false,,false,false,false,users.id,Owning user
password_reset_tokens,token_hash,3,VARCHAR(255),false,,false,false,false,,Hashed reset token only
password_reset_tokens,expires_at,4,TIMESTAMP WITH TIME ZONE,false,,false,false,false,,Token expiry timestamp
password_reset_tokens,created_at,5,TIMESTAMP WITH TIME ZONE,false,current_timestamp,false,false,false,,Creation timestamp
email_verification_tokens,id,1,VARCHAR(36),false,application_uuid,true,false,false,,Verification token record identifier
email_verification_tokens,user_id,2,VARCHAR(36),false,,false,false,false,users.id,Owning user
email_verification_tokens,token_hash,3,VARCHAR(255),false,,false,false,false,,Hashed verification token only
email_verification_tokens,expires_at,4,TIMESTAMP WITH TIME ZONE,false,,false,false,false,,Token expiry timestamp
email_verification_tokens,created_at,5,TIMESTAMP WITH TIME ZONE,false,current_timestamp,false,false,false,,Creation timestamp
oauth_handoff_codes,id,1,VARCHAR(36),false,application_uuid,true,false,false,,OAuth handoff record identifier
oauth_handoff_codes,user_id,2,VARCHAR(36),false,,false,false,false,users.id,Owning user
oauth_handoff_codes,code_hash,3,VARCHAR(255),false,,false,false,false,,Hashed one-time OAuth handoff code only
oauth_handoff_codes,expires_at,4,TIMESTAMP WITH TIME ZONE,false,,false,false,false,,Code expiry timestamp
oauth_handoff_codes,consumed_at,5,TIMESTAMP WITH TIME ZONE,true,,false,false,false,,Consumption timestamp
oauth_handoff_codes,created_at,6,TIMESTAMP WITH TIME ZONE,false,current_timestamp,false,false,false,,Creation timestamp
